Temature,mean_wavelength_1,mean_wavelength_2
75,1545.8721623299991,1550.5980616026554
65,1545.7349679818788,1550.4711508512107
55,1545.5927132948389,1550.3474506768287
45,1545.445264582203,1550.2241397997318
35,1545.3702574626143,1550.095001404262
25,1545.1334568608263,1549.9271363374944
15,1545.0160090120564,1549.780907626955
